nxbpfBx6rg0	Mijanka PR 1-H1.mp4	Mijanka PR 1-H1	Passage place PR 1-H1	Passage place PR 1-H1 (Mijanka PR 1-H1)
iXfgIBzqwOA	Mijanka PR H1-1.mp4	Mijanka PR H1-1	Passage place PR H1-1	Passage place PR H1-1 (Mijanka PR H1-1)
GuTeTUG2K8I	Mijanka R 1-H1.mp4	Mijanka R 1-H1	Passage place R 1-H1	Passage place R 1-H1 (Mijanka R 1-H1)
Ng25uoE_2qw	Mijanka R H1-1.mp4	Mijanka R H1-1	Passage place R H1-1	Passage place R H1-1 (Mijanka R H1-1)
E_Ahrr3DlXA	Mijanka R+ 1-H1.mp4	Mijanka R+ 1-H1	Passage place R+ 1-H1	Passage place R+ 1-H1 (Mijanka R+ 1-H1)
kaqXC_Yx8yU	Mijanka R+ H1-1.mp4	Mijanka R+ H1-1	Passage place R+ H1-1	Passage place R+ H1-1 (Mijanka R+ H1-1)
sJw_ssEWmkA	Mijanka RVO 1-H1.mp4	Mijanka RVO 1-H1	Passage place RVO 1-H1	Passage place RVO 1-H1 (Mijanka RVO 1-H1)
o7mhHTon5qg	Mijanka RVO H1-1.mp4	Mijanka RVO H1-1	Passage place RVO H1-1	Passage place RVO H1-1 (Mijanka RVO H1-1)
vYVyBbf0nm0	Otwarta przestrzeń PR 1-1.mp4	Otwarta przestrzeń PR 1-1	Open space PR 1-1	Open space PR 1-1 (Otwarta przestrzeń PR 1-1)
odmwYFqpcuc	Otwarta przestrzeń PR 1-2.mp4	Otwarta przestrzeń PR 1-2	Open space PR 1-2	Open space PR 1-2 (Otwarta przestrzeń PR 1-2)
3habhPAF7Ak	Otwarta przestrzeń PR 1-5.mp4	Otwarta przestrzeń PR 1-5	Open space PR 1-5	Open space PR 1-5 (Otwarta przestrzeń PR 1-5)
ZY1PHv-ZaW0	Otwarta przestrzeń PR 10-9.mp4	Otwarta przestrzeń PR 10-9	Open space PR 10-9	Open space PR 10-9 (Otwarta przestrzeń PR 10-9)
S2gP34jeopo	Otwarta przestrzeń R 1-1.mp4	Otwarta przestrzeń R 1-1	Open space R 1-1	Open space R 1-1 (Otwarta przestrzeń R 1-1)
8EMR3B6ZA6k	Otwarta przestrzeń R 1-2.mp4	Otwarta przestrzeń R 1-2	Open space R 1-2	Open space R 1-2 (Otwarta przestrzeń R 1-2)
Dara5DfA3sU	Otwarta przestrzeń R 1-5.mp4	Otwarta przestrzeń R 1-5	Open space R 1-5	Open space R 1-5 (Otwarta przestrzeń R 1-5)
82ZIB7YexZE	Otwarta przestrzeń R 10-9.mp4	Otwarta przestrzeń R 10-9	Open space R 10-9	Open space R 10-9 (Otwarta przestrzeń R 10-9)
_OkYTwa-wgQ	Otwarta przestrzeń R+ 1-1.mp4	Otwarta przestrzeń R+ 1-1	Open space R+ 1-1	Open space R+ 1-1 (Otwarta przestrzeń R+ 1-1)
cUp7lqcYvpc	Otwarta przestrzeń R+ 1-2.mp4	Otwarta przestrzeń R+ 1-2	Open space R+ 1-2	Open space R+ 1-2 (Otwarta przestrzeń R+ 1-2)
3Rap8Ln3EoU	Otwarta przestrzeń R+ 1-5.mp4	Otwarta przestrzeń R+ 1-5	Open space R+ 1-5	Open space R+ 1-5 (Otwarta przestrzeń R+ 1-5)
5Rx_gUYQuik	Otwarta przestrzeń R+ 10-9.mp4	Otwarta przestrzeń R+ 10-9	Open space R+ 10-9	Open space R+ 10-9 (Otwarta przestrzeń R+ 10-9)
ZLRoJZDF6PU	Otwarta przestrzeń RVO 1-1.mp4	Otwarta przestrzeń RVO 1-1	Open space RVO 1-1	Open space RVO 1-1 (Otwarta przestrzeń RVO 1-1)
jZx3HenhVDA	Otwarta przestrzeń RVO 1-2.mp4	Otwarta przestrzeń RVO 1-2	Open space RVO 1-2	Open space RVO 1-2 (Otwarta przestrzeń RVO 1-2)
EXGJKDHYMFU	Otwarta przestrzeń RVO 1-5.mp4	Otwarta przestrzeń RVO 1-5	Open space RVO 1-5	Open space RVO 1-5 (Otwarta przestrzeń RVO 1-5)
FEhAomB85fk	Otwarta przestrzeń RVO 10-9.mp4	Otwarta przestrzeń RVO 10-9	Open space RVO 10-9	Open space RVO 10-9 (Otwarta przestrzeń RVO 10-9)
HOmv76YlNMQ	Otwarta przestrzeń okrąg PR cztery roboty.mp4	Otwarta przestrzeń okrąg PR cztery roboty	Open space circle PR four robots	Open space circle PR four robots (Otwarta przestrzeń okrąg PR cztery roboty)
lCUpH7Hu2hY	Otwarta przestrzeń okrąg PR dwanaście robotów.mp4	Otwarta przestrzeń okrąg PR dwanaście robotów	Open space circle PR twelve robots	Open space circle PR twelve robots (Otwarta przestrzeń okrąg PR dwanaście robotów)
QaQuvLcCQwQ	Otwarta przestrzeń okrąg PR osiem robotów.mp4	Otwarta przestrzeń okrąg PR osiem robotów	Open space circle PR eight robots	Open space circle PR eight robots (Otwarta przestrzeń okrąg PR osiem robotów)
DIJGPDF_x6Q	Otwarta przestrzeń okrąg R cztery roboty.mp4	Otwarta przestrzeń okrąg R cztery roboty	Open space circle R four robots	Open space circle R four robots (Otwarta przestrzeń okrąg R cztery roboty)
7GGkp9GRKE0	Otwarta przestrzeń okrąg R dwanaście robotów.mp4	Otwarta przestrzeń okrąg R dwanaście robotów	Open space circle R twelve robots	Open space circle R twelve robots (Otwarta przestrzeń okrąg R dwanaście robotów)
w4lAOXGCQvs	Otwarta przestrzeń okrąg R osiem robotów.mp4	Otwarta przestrzeń okrąg R osiem robotów	Open space circle R eight robots	Open space circle R eight robots (Otwarta przestrzeń okrąg R osiem robotów)
5XSEtwsd1v8	Otwarta przestrzeń okrąg R+ cztery roboty.mp4	Otwarta przestrzeń okrąg R+ cztery roboty	Open space circle R+ four robots	Open space circle R+ four robots (Otwarta przestrzeń okrąg R+ cztery roboty)
YibvC4hwXMA	Otwarta przestrzeń okrąg R+ dwanaście robotów.mp4	Otwarta przestrzeń okrąg R+ dwanaście robotów	Open space circle R+ twelve robots	Open space circle R+ twelve robots (Otwarta przestrzeń okrąg R+ dwanaście robotów)
juNbUHIkMRk	Otwarta przestrzeń okrąg R+ osiem robotów.mp4	Otwarta przestrzeń okrąg R+ osiem robotów	Open space circle R+ eight robots	Open space circle R+ eight robots (Otwarta przestrzeń okrąg R+ osiem robotów)
BVmQGz-1FQk	Otwarta przestrzeń okrąg RVO cztery roboty.mp4	Otwarta przestrzeń okrąg RVO cztery roboty	Open space circle RVO four robots	Open space circle RVO four robots (Otwarta przestrzeń okrąg RVO cztery roboty)
op7AbsAET_E	Otwarta przestrzeń okrąg RVO dwanaście robotów.mp4	Otwarta przestrzeń okrąg RVO dwanaście robotów	Open space circle RVO twelve robots	Open space circle RVO twelve robots (Otwarta przestrzeń okrąg RVO dwanaście robotów)
u-8IsJkMLW0	Otwarta przestrzeń okrąg RVO osiem robotów.mp4	Otwarta przestrzeń okrąg RVO osiem robotów	Open space circle RVO eight robots	Open space circle RVO eight robots (Otwarta przestrzeń okrąg RVO osiem robotów)
OPB5rOYRgfs	Otwarta przestrzeń skos PR cztery roboty zadanie 1.mp4	Otwarta przestrzeń skos PR cztery roboty zadanie 1	Open space slant PR four robots task 1	Open space slant PR four robots task 1 (Otwarta przestrzeń skos PR cztery roboty zadanie 1)
19XWgcsQPYQ	Otwarta przestrzeń skos PR cztery roboty zadanie 2.mp4	Otwarta przestrzeń skos PR cztery roboty zadanie 2	Open space slant PR four robots task 2	Open space slant PR four robots task 2 (Otwarta przestrzeń skos PR cztery roboty zadanie 2)
l1zWKXDeZ_E	Otwarta przestrzeń skos R cztery roboty zadanie 1.mp4	Otwarta przestrzeń skos R cztery roboty zadanie 1	Open space slant R four robots task 1	Open space slant R four robots task 1 (Otwarta przestrzeń skos R cztery roboty zadanie 1)
jVXqhotYEFQ	Otwarta przestrzeń skos R cztery roboty zadanie 2.mp4	Otwarta przestrzeń skos R cztery roboty zadanie 2	Open space slant R four robots task 2	Open space slant R four robots task 2 (Otwarta przestrzeń skos R cztery roboty zadanie 2)
uRc1SRmiElc	Otwarta przestrzeń skos R+ cztery roboty zadanie 1.mp4	Otwarta przestrzeń skos R+ cztery roboty zadanie 1	Open space slant R+ four robots task 1	Open space slant R+ four robots task 1 (Otwarta przestrzeń skos R+ cztery roboty zadanie 1)
aZykFaRzgtE	Otwarta przestrzeń skos R+ cztery roboty zadanie 2.mp4	Otwarta przestrzeń skos R+ cztery roboty zadanie 2	Open space slant R+ four robots task 2	Open space slant R+ four robots task 2 (Otwarta przestrzeń skos R+ cztery roboty zadanie 2)
CysZi4KULQA	Otwarta przestrzeń skos RVO cztery roboty zadanie 1.mp4	Otwarta przestrzeń skos RVO cztery roboty zadanie 1	Open space slant RVO four robots task 1	Open space slant RVO four robots task 1 (Otwarta przestrzeń skos RVO cztery roboty zadanie 1)
4ck8yql7PxQ	Otwarta przestrzeń skos RVO cztery roboty zadanie 2.mp4	Otwarta przestrzeń skos RVO cztery roboty zadanie 2	Open space slant RVO four robots task 2	Open space slant RVO four robots task 2 (Otwarta przestrzeń skos RVO cztery roboty zadanie 2)
3h1SvGXKhJU	Przejście przez drzwi PF 1-H1.mp4	Przejście przez drzwi PF 1-H1	Passage PF 1-H1	Passage PF 1-H1 (Przejście przez drzwi PF 1-H1)
f5_riGqtQsg	Przejście przez drzwi PF 1-H2.mp4	Przejście przez drzwi PF 1-H2	Passage PF 1-H2	Passage PF 1-H2 (Przejście przez drzwi PF 1-H2)
9UKVIj56obU	Przejście przez drzwi PF 1-H4.mp4	Przejście przez drzwi PF 1-H4	Passage PF 1-H4	Passage PF 1-H4 (Przejście przez drzwi PF 1-H4)
6CcgEyNvcY4	Przejście przez drzwi PF 7-H4.mp4	Przejście przez drzwi PF 7-H4	Passage PF 7-H4	Passage PF 7-H4 (Przejście przez drzwi PF 7-H4)
oj2wnsa7PMc	Przejście przez drzwi PF 9-H8.mp4	Przejście przez drzwi PF 9-H8	Passage PF 9-H8	Passage PF 9-H8 (Przejście przez drzwi PF 9-H8)
svzaw-kTToA	Przejście przez drzwi PF H1-1.mp4	Przejście przez drzwi PF H1-1	Passage PF H1-1	Passage PF H1-1 (Przejście przez drzwi PF H1-1)
