nxbpfBx6rg0	Passage place PR 1-H1 (Mijanka PR 1-H1)
iXfgIBzqwOA	Passage place PR H1-1 (Mijanka PR H1-1)
GuTeTUG2K8I	Passage place R 1-H1 (Mijanka R 1-H1)
Ng25uoE_2qw	Passage place R H1-1 (Mijanka R H1-1)
E_Ahrr3DlXA	Passage place R+ 1-H1 (Mijanka R+ 1-H1)
kaqXC_Yx8yU	Passage place R+ H1-1 (Mijanka R+ H1-1)
sJw_ssEWmkA	Passage place RVO 1-H1 (Mijanka RVO 1-H1)
o7mhHTon5qg	Passage place RVO H1-1 (Mijanka RVO H1-1)
vYVyBbf0nm0	Open space PR 1-1 (Otwarta przestrzeń PR 1-1)
odmwYFqpcuc	Open space PR 1-2 (Otwarta przestrzeń PR 1-2)
3habhPAF7Ak	Open space PR 1-5 (Otwarta przestrzeń PR 1-5)
ZY1PHv-ZaW0	Open space PR 10-9 (Otwarta przestrzeń PR 10-9)
S2gP34jeopo	Open space R 1-1 (Otwarta przestrzeń R 1-1)
8EMR3B6ZA6k	Open space R 1-2 (Otwarta przestrzeń R 1-2)
Dara5DfA3sU	Open space R 1-5 (Otwarta przestrzeń R 1-5)
82ZIB7YexZE	Open space R 10-9 (Otwarta przestrzeń R 10-9)
_OkYTwa-wgQ	Open space R+ 1-1 (Otwarta przestrzeń R+ 1-1)
cUp7lqcYvpc	Open space R+ 1-2 (Otwarta przestrzeń R+ 1-2)
3Rap8Ln3EoU	Open space R+ 1-5 (Otwarta przestrzeń R+ 1-5)
5Rx_gUYQuik	Open space R+ 10-9 (Otwarta przestrzeń R+ 10-9)
ZLRoJZDF6PU	Open space RVO 1-1 (Otwarta przestrzeń RVO 1-1)
jZx3HenhVDA	Open space RVO 1-2 (Otwarta przestrzeń RVO 1-2)
EXGJKDHYMFU	Open space RVO 1-5 (Otwarta przestrzeń RVO 1-5)
FEhAomB85fk	Open space RVO 10-9 (Otwarta przestrzeń RVO 10-9)
HOmv76YlNMQ	Open space circle PR four robots (Otwarta przestrzeń okrąg PR cztery roboty)
lCUpH7Hu2hY	Open space circle PR twelve robots (Otwarta przestrzeń okrąg PR dwanaście robotów)
QaQuvLcCQwQ	Open space circle PR eight robots (Otwarta przestrzeń okrąg PR osiem robotów)
DIJGPDF_x6Q	Open space circle R four robots (Otwarta przestrzeń okrąg R cztery roboty)
